_id,timestamp,device_id,data
18,1744403392245,f32c139e-e888-408e-b721-aea621bf089f,"{""device_id"":""f32c139e-e888-408e-b721-aea621bf089f"",""log_message"":""{\""data\"":{\""identifier\"":\""reminder_2FD2E860-8F4A-4B4F-B477-B326DECE72DB\"",\""title\"":\""u23F3 Your next survey is ready(R)\"",\""url\"":\""https:\\/\\/wustl.az1.qualtrics.com\\/jfe\\/form\\/SV_0HyB20WVoAztGTk\"",\""event_type\"":\""reminder_expired\"",\""action\"":\""None\"",\""error\"":\""\"",\""notification_type\"":\""RANDOM_SURVEY\"",\""body\"":\""   \"",\""neighborhood\"":\""\""},\""device_id\"":\""f32c139e-e888-408e-b721-aea621bf089f\"",\""timestamp\"":\""2025-04-11 15:29:52\"",\""event_category\"":\""random_notification\""}"",""timestamp"":1744403392245}"
19,1744826464294,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARECore\"",\""event\"":\""base-location-sensor is started\""}"",""timestamp"":1744826464294}"
20,1744826464299,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARECore\"",\""event\"":\""deactivate\""}"",""timestamp"":1744826464299}"
21,1744826464307,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""plugin_ios_activity_recognition\""}"",""timestamp"":1744826464307}"
22,1744826464313,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""locations\""}"",""timestamp"":1744826464313}"
23,1744826464334,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""google_fused_location\""}"",""timestamp"":1744826464334}"
24,1744826464350,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""battery\""}"",""timestamp"":1744826464350}"
25,1744826464354,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""accelerometer\""}"",""timestamp"":1744826464354}"
26,1744826464361,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""bluetooth\""}"",""timestamp"":1744826464361}"
27,1744826464368,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""calls\""}"",""timestamp"":1744826464368}"
28,1744826464374,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""plugin_device_usage\""}"",""timestamp"":1744826464374}"
29,1744826464377,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""ios_aware_log\""}"",""timestamp"":1744826464377}"
30,1744826464379,3306e231-93de-42d0-8c90-36f941198f0e,"{""device_id"":""3306e231-93de-42d0-8c90-36f941198f0e"",""log_message"":""{\""class\"":\""AWARESensorManager\"",\""event\"":\""stop sensor\"",\""sensor\"":\""ios_status_monitor\""}"",""timestamp"":1744826464379}"
